gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value,partition_assignment
ENSG00000242258,LINC00996,5,0.4476595577662884,0.5729479988746348,0.5378787878787878,0.832268473593663,0.37772542895264244,4.5208094737887666e-66,1.8114521896713684e-60,DC
ENSG00000185291,IL3RA,5,0.5241736433123473,1.1618749716193482,0.7651515151515151,0.6850586229428697,0.5233998022076721,6.141989122521801e-91,2.4610459054815056e-85,DC
ENSG00000148154,UGCG,5,0.6220775487295971,2.1718680334925407,0.9242424242424242,0.6730675117402198,0.7039895096415363,7.924501246055476e-122,3.1752842532844607e-116,DC
ENSG00000184709,LRRC26,5,0.7399529257859316,1.286063275512895,0.7803030303030303,0.9482891864441066,0.66267282063366,9.394402836380151e-115,3.7642620613148357e-109,DC
ENSG00000185507,IRF7,5,0.5874669103965111,4.877746073055055,0.9318181818181818,0.6304522940840608,0.6394463141973784,8.865287155603885e-111,3.552249640953232e-105,DC
ENSG00000070031,SCT,5,0.7062033912743303,1.2544695576021256,0.7348484848484849,0.9610190479197072,0.6230251835134953,5.716279759099431e-108,2.290467569233069e-102,DC
ENSG00000162144,CYB561A3,5,0.44431458830192555,1.6692926123415448,0.8863636363636364,0.5012779970585827,0.47247307767624397,3.062550617132827e-82,1.2271395318801867e-76,DC
ENSG00000173457,PPP1R14B,5,0.464139016684461,1.7157045553832593,0.8636363636363636,0.5374241245820075,0.5178767637140441,5.393196421339884e-90,2.1610106604595207e-84,DC
ENSG00000198178,CLEC4C,5,0.7419230931396152,1.0952122315863044,0.7878787878787878,0.9416716182156656,0.6769296295507569,3.4073044747739806e-117,1.3652796446061359e-111,DC
ENSG00000183087,GAS6,5,0.5339563177777913,1.0210060185868652,0.7651515151515151,0.6978439004620639,0.5364536357458266,3.613921828475575e-93,1.4480695652955352e-87,DC
ENSG00000100453,GZMB,5,0.47600824386345325,7.139340061264686,0.9015151515151515,0.5280091444535784,0.5060814112736403,5.580981361187076e-88,2.2362545835767716e-82,DC
ENSG00000166428,PLD4,5,0.7305516052497354,5.00616903391077,0.9393939393939394,0.7776839668787505,0.7895727759398332,1.7081865240911345e-136,6.844566747111249e-131,DC
ENSG00000198794,SCAMP5,5,0.4676337395502972,0.5355830521037664,0.553030303030303,0.8455842961731402,0.41344294575130813,3.64434138604443e-72,1.4602584386569148e-66,DC
ENSG00000103056,SMPD3,5,0.5939894716820049,0.783514606424494,0.6666666666666666,0.8909842075230073,0.550792405099264,1.2814023165603206e-95,5.13447657027188e-90,DC
ENSG00000140968,IRF8,5,0.5916115844377386,4.31780120747794,0.9545454545454546,0.6197835646490595,0.6385003728426931,1.2869072260755895e-110,5.156534302306801e-105,DC
ENSG00000132386,SERPINF1,5,0.8073460685301869,2.536773199754318,0.9166666666666666,0.8807411656692948,0.7967899408741899,9.882606716952024e-138,3.959881450628941e-132,DC
ENSG00000196628,TCF4,5,0.5478820834141992,2.846976994978767,0.946969696969697,0.5785634800853943,0.6418083721347623,3.495632058451069e-111,1.4006718007648759e-105,DC
ENSG00000125869,LAMP5,5,0.4489927321830917,0.6855072626042078,0.6060606060606061,0.7408380081021013,0.43691343422069334,3.6000897461184346e-76,1.4425271605516878e-70,DC
ENSG00000105251,SHD,5,0.5347014694437612,0.7017329962609781,0.6060606060606061,0.8822574245822059,0.4586876502742973,6.91213556879035e-80,2.7696374253297427e-74,DC
ENSG00000105426,PTPRS,5,0.5616882281246136,0.8194112583071592,0.6742424242424242,0.8330656866567303,0.5142410780987252,2.2538212595265487e-89,9.030881481222119e-84,DC
ENSG00000269404,SPIB,5,0.47176505973676314,0.9925568564260175,0.75,0.6290200796490175,0.48062774679039577,1.240789325822122e-83,4.971743565423177e-78,DC
ENSG00000239961,LILRA4,5,0.8240196283306348,3.0107699879262753,0.8712121212121212,0.94583122556212,0.7696289795472845,4.487216869800562e-133,1.7979919019941268e-127,DC
ENSG00000177606,JUN,6,0.36895936747677605,27.579985884245993,0.9551569506726457,0.38628140350854956,0.3351199599765881,4.097803361998035e-124,1.6419570247257166e-118,Sen. Tc/NK
ENSG00000158050,DUSP2,6,0.3727076888513696,6.176121939625306,0.9484304932735426,0.3929731187416332,0.4502583067210757,2.07334487938623e-166,8.307727064110273e-161,Sen. Tc/NK
ENSG00000144290,SLC4A10,6,0.3687882978507498,0.3684583929377164,0.43946188340807174,0.8391815349052776,0.28910838254652377,2.961575406575137e-107,1.1866795728114048e-101,Sen. Tc/NK
ENSG00000145220,LYAR,6,0.2969883393717164,0.953033389226196,0.7376681614349776,0.40260425337320827,0.3076068269150494,4.970384859036286e-114,1.9915934499369675e-108,Sen. Tc/NK
ENSG00000168685,IL7R,6,0.5064679555272162,4.257560114597271,0.984304932735426,0.5145437543625022,0.677634703746404,1.999759399370262e-250,8.01287593252469e-245,Sen. Tc/NK
ENSG00000113088,GZMK,6,0.48595381152330963,2.2549835308416304,0.9147982062780269,0.5312142155377355,0.6293106539221245,1.632782318898583e-232,6.5424281292411095e-227,Sen. Tc/NK
ENSG00000145649,GZMA,6,0.2832541690951285,2.4320907861464116,0.952914798206278,0.2972502574504172,0.45290296310126593,2.2042721283602914e-167,8.832342076569419e-162,Sen. Tc/NK
ENSG00000120738,EGR1,6,0.269670752472917,3.3194774995602487,0.6053811659192825,0.4454561318626703,0.21208634848971875,4.398107618734788e-79,1.7622865379660796e-73,Sen. Tc/NK
